12288 ;x3000 ;0101 001 001 1 00000 ;5260 ;R1 <- 0
12289 ;x3001 ;0001 001 001 1 01111 ;126F ;R1 <- R1 + 15
12290 ;x3002 ;1010 010 000 0 00110 ;A406 ;R2 <- M[M[x3009]]
12291 ;x3003 ;0000 100 000 0 00100 ;0804 ;BRn x3008
12292 ;x3004 ;0001 001 001 1 11111 ;127F ;R1 <- R1 - 1
12293 ;x3005 ;0001 010 010 0 00010 ;1482 ;R2 <- R2 + R2
12294 ;x3006 ;0000 100 000 0 00001 ;0801 ;BRn x3008
12295 ;x3007 ;0000 111 111 1 11100 ;0FFC ;BRnzp x3004
12296 ;x3008 ;1111 000 000 1 00101 ;F025 ;HALT
12297 ;x3009 ;0011 000 100 0 00000 ;3100 ;x3100



Contents of memory locations x3100 to x3113
12544 ;x3100 ;3107
12545 ;x3101 ;2819
12546 ;x3102 ;0110
12547 ;x3103 ;0310
12548 ;x3104 ;0110
12549 ;x3105 ;1110
12550 ;x3106 ;11B1
12551 ;x3107 ;0019
12552 ;x3108 ;0007
12553 ;x3109 ;0004
12554 ;x3110 ;0000
12555 ;x3111 ;0000
12556 ;x3112 ;0000
12557 ;x3113 ;0000
